window_index,train_start,train_end,val_start,val_end,test_start,test_end,train_size,val_size,test_size,val_loss,hidden_size,dropout,lr,acc,precision,recall,f1,total_pnl,num_trades,avg_pnl_per_trade
10,2018-06-17 07:00:00,2019-02-17 06:42:00,2019-02-17 07:33:00,2019-03-17 06:36:00,2019-04-17 07:45:00,2019-05-17 06:54:00,40563,4468,5457,0.44663122296333313,32,0.2,0.001,0.7698721289634705,0.8226221203804016,0.6986899375915527,0.7556080222129822,4.256331917527635,2334,0.0018236212157359188
11,2018-07-17 06:57:00,2019-03-17 06:36:00,2019-03-17 07:03:00,2019-04-17 06:30:00,2019-05-17 06:57:00,2019-06-17 06:54:00,40283,5098,5729,0.46117591857910156,32,0.2,0.001,0.7590404152870178,0.7957074642181396,0.7014716267585754,0.7456238269805908,4.467664031227762,2516,0.0017757011252892536
12,2018-08-17 07:12:00,2019-04-17 06:30:00,2019-04-17 07:45:00,2019-05-17 06:54:00,2019-06-17 06:57:00,2019-07-17 06:27:00,39573,5457,6074,0.49463438987731934,32,0.2,0.001,0.7592284679412842,0.8449949622154236,0.7192932367324829,0.7770935893058777,7.918113825227599,2987,0.0026508583278297953
13,2018-09-17 06:57:00,2019-05-17 06:54:00,2019-05-17 06:57:00,2019-06-17 06:54:00,2019-07-17 07:09:00,2019-08-17 06:30:00,39728,5729,5567,0.5104703903198242,32,0.2,0.001,0.7804612517356873,0.8142054677009583,0.731171190738678,0.7704575657844543,4.212349046012291,2492,0.001690348734354852
14,2018-10-17 07:15:00,2019-06-17 06:54:00,2019-06-17 06:57:00,2019-07-17 06:27:00,2019-08-17 07:00:00,2019-09-17 06:54:00,40788,6074,5354,0.5057914853096008,32,0.2,0.001,0.7899509072303772,0.8029465675354004,0.7182866334915161,0.7582608461380005,2.7986685695353843,2172,0.0012885214408542285
15,2018-11-17 06:57:00,2019-07-17 06:27:00,2019-07-17 07:09:00,2019-08-17 06:30:00,2019-09-17 06:57:00,2019-10-17 06:54:00,42642,5567,5023,0.4808104634284973,32,0.2,0.001,0.7864195108413696,0.7880274653434753,0.7188898921012878,0.7518726587295532,2.6603657802067873,2038,0.001305380657608826
16,2018-12-17 06:57:00,2019-08-17 06:30:00,2019-08-17 07:00:00,2019-09-17 06:54:00,2019-10-17 06:57:00,2019-11-17 06:45:00,42621,5354,5071,0.4581542909145355,32,0.2,0.001,0.7952504754066467,0.7715920805931091,0.7164251208305359,0.7429859638214111,2.695912378742543,1922,0.001402659926504965
17,2019-01-17 07:00:00,2019-09-17 06:54:00,2019-09-17 06:57:00,2019-10-17 06:54:00,2019-11-17 06:57:00,2019-12-17 06:21:00,42400,5023,5011,0.46654441952705383,32,0.2,0.001,0.7784286141395569,0.7496381998062134,0.7288930416107178,0.7391200661659241,2.79935934787944,2073,0.0013503904234826048
18,2019-02-17 07:33:00,2019-10-17 06:54:00,2019-10-17 06:57:00,2019-11-17 06:45:00,2019-12-17 07:18:00,2020-01-17 06:45:00,42770,5071,5526,0.4540780186653137,32,0.2,0.001,0.7833881974220276,0.7929401397705078,0.7237721085548401,0.7567789554595947,3.196402303362907,2323,0.001375980328610808
19,2019-03-17 07:03:00,2019-11-17 06:45:00,2019-11-17 06:57:00,2019-12-17 06:21:00,2020-01-17 07:00:00,2020-02-17 06:54:00,43373,5011,5358,0.4788375198841095,32,0.2,0.001,0.7848244905471802,0.7897884249687195,0.715416669845581,0.7507652044296265,2.766425070584742,2174,0.0012725046322836899
20,2019-04-17 07:45:00,2019-12-17 06:21:00,2019-12-17 07:18:00,2020-01-17 06:45:00,2020-02-17 07:03:00,2020-03-17 06:54:00,43286,5526,5131,0.47505509853363037,32,0.2,0.001,0.7698678970336914,0.7827632427215576,0.7221311330795288,0.7512257695198059,5.392297783660573,2251,0.002395512120684395
21,2019-05-17 06:57:00,2020-01-17 06:45:00,2020-01-17 07:00:00,2020-02-17 06:54:00,2020-03-17 06:57:00,2020-04-17 06:54:00,43355,5358,5942,0.4709242284297943,32,0.2,0.001,0.7771166563034058,0.826225996017456,0.7387988567352295,0.7800704836845398,6.177187260258054,2814,0.0021951624947612134
22,2019-06-17 06:57:00,2020-02-17 06:54:00,2020-02-17 07:03:00,2020-03-17 06:54:00,2020-04-17 07:00:00,2020-05-17 06:51:00,42984,5131,5664,0.4891350567340851,32,0.2,0.001,0.7826552391052246,0.8040590286254883,0.7602930665016174,0.7815638184547424,4.553430010455938,2710,0.001680232476183003
23,2019-07-17 07:09:00,2020-03-17 06:54:00,2020-03-17 06:57:00,2020-04-17 06:54:00,2020-05-17 06:57:00,2020-06-17 06:51:00,42041,5942,5219,0.4686042368412018,32,0.2,0.001,0.7894940972328186,0.7627441883087158,0.7313842177391052,0.7467350959777832,2.5209768642552857,2099,0.001201037095881508
24,2019-08-17 07:00:00,2020-04-17 06:54:00,2020-04-17 07:00:00,2020-05-17 06:51:00,2020-06-17 07:06:00,2020-07-17 06:27:00,42416,5664,4664,0.47347256541252136,32,0.2,0.001,0.7999565601348877,0.7170542478561401,0.6967985033988953,0.706781268119812,1.2072279104974184,1548,0.000779862991277402
